app,operator,killed,survived,kill_rate
banking-api,cmp,16,0,1.0
banking-api,bool,5,1,0.8333
banking-api,const,35,7,0.8333
banking-api,ret-none,10,0,1.0
banking-api,bool_const,0,2,0.0
fhir-lite,cmp,8,0,1.0
fhir-lite,bool,4,0,1.0
fhir-lite,const,21,11,0.6562
fhir-lite,ret-none,7,1,0.875
fhir-lite,bool_const,3,2,0.6
hr-app,cmp,14,0,1.0
hr-app,bool,4,1,0.8
hr-app,const,16,8,0.6667
hr-app,ret-none,11,0,1.0
hr-app,bool_const,7,0,1.0
logistics-app,cmp,17,0,1.0
logistics-app,bool,7,0,1.0
logistics-app,const,25,13,0.6579
logistics-app,ret-none,9,1,0.9
logistics-app,bool_const,6,1,0.8571
