domain,metric,cond_a,cond_b,n,diff_mean,cohens_d,wilcoxon_p,significant_p05
commercial_web,coverage,full,unverified,112,1,0.0,0.0,1
commercial_web,verify,full,unverified,112,0.9375,5.4527,0.0,1
commercial_web,coverage,full,ablation,112,0,0.0,1.0,0
commercial_web,verify,full,ablation,112,0.2321,0.6332,0.0002,1
financial_services,coverage,full,unverified,98,1,0.0,0.0,1
financial_services,verify,full,unverified,98,0.9592,6.8206,0.0,1
financial_services,coverage,full,ablation,98,0,0.0,1.0,0
financial_services,verify,full,ablation,98,0.1837,0.5596,0.0008,1
healthcare,coverage,full,unverified,102,1,0.0,0.0,1
healthcare,verify,full,unverified,102,0.9706,8.0841,0.0,1
healthcare,coverage,full,ablation,102,0,0.0,1.0,0
healthcare,verify,full,ablation,102,0.2353,0.7009,0.0,1
