metric,cond_a,cond_b,n,a_mean,a_ci_lo,a_ci_hi,b_mean,b_ci_lo,b_ci_hi,diff_mean,cohens_d,wilcoxon_W,wilcoxon_p,significant_p05,significant_p01
coverage,full,unverified,362,1,1.0,1.0,0,0.0,0.0,1,0.0,0,0.0,1,1
mutation,full,unverified,362,0.5331,0.4807,0.5856,0.4282,0.3757,0.4779,0.105,0.211,1998.0,0.0017,1,1
verify,full,unverified,362,0.9586,0.9365,0.9779,0,0.0,0.0,0.9586,6.7926,0,0.0,1,1
coverage,full,ablation,362,1,1.0,1.0,1,1.0,1.0,0,0.0,0.0,1.0,0,0
mutation,full,ablation,362,0.5331,0.4807,0.5856,0.5249,0.4724,0.5773,0.0083,0.0166,360.0,0.6755,0,0
verify,full,ablation,362,0.9586,0.9365,0.9779,0.7376,0.6906,0.7818,0.221,0.6462,388.0,0.0,1,1
coverage,ablation,unverified,362,1,1.0,1.0,0,0.0,0.0,1,0.0,0,0.0,1,1
mutation,ablation,unverified,362,0.5249,0.4751,0.5746,0.4282,0.3757,0.4807,0.0967,0.1942,1768.0,0.0028,1,1
verify,ablation,unverified,362,0.7376,0.6934,0.7818,0,0.0,0.0,0.7376,2.3676,0,0.0,1,1
